Maison de la culture de Cote-des-Neiges;;
",Public Laboratory,January 30 at 2 p.m.,Non Finito,Système Kangourou - Anne-Marie Guilmaine and Claudine Robillard - A theatre that explores the notion of incompletion and our need for performance,""Passes available as of January 16, places limited""";;
,Musical Tale,February 4 at 3 p.m.,Pierre et le pou,Carte blanche to Pierre Labbé - Sacré Tympan - Ages 5 + - Created here some 10 years ago…,Passes available as of January 21;;
,Music,February 7 at 8 p.m.,Tromper Eustache,Jazzes-tu? Series – Carte blanche to Pierre Labbé - Pierre Labbé Sextet - A memorable evening with exceptional musicians,Passes available as of January 24;;
,Theatrical Reading,February 10 at 7:30 p.m.,Du petit au gros centre,The Centre communautaire de loisir de la Côte-des-Neiges celebrates its 40th year of existence! - A history of major achievements,Passes available as of January 27;;
,Evening Film Presentation,February 14 at 7:30 p.m.,À rougir de plaisir,Ages 18 + - Animated film for adults - L’ONF à la maison - Followed by a discussion,Passes available as of January 31;;
,Music,February 16 at 8 p.m.,Le hot club de ma rue,Jazzes-tu? Series - An atmosphere reminiscent of the jazz cabarets from the 1930s to the 1950s,Passes available as of February 2;;
",Young Audiences,February 19 at 3 p.m.,Philémon et Baucis,""L’Illusion, Théâtre de marionnettes – For kids and adults alike - Puppet theatre - Ages 7 + - Conseil des arts de Montréal en tournée"",Passes available as of February 5";;
",Music,February 21 at 8 p.m.,Misc,""Jazzes-tu? Series - Jérôme Beaulieu, William Côté and Philippe Leduc - One of the Maison’s favourites!"",Passes available as of February 7";;
,Music,February 23 at 8 p.m.,Par 5 chemins,Jazzes-tu? Series - Guillaume Martineau Quintet - Révélation Radio-Canada - Conseil des arts de Montréal en tournée,Passes available as of February 9;;
,Object Theater,March 7 at 1:30 p.m.,Quichotte,Ombres Folles - Theater preview - Ages 8 + - Don Quixote de la Mancha by Cervantes… his adventures in shadows and paper,Passes available as of February 21;;
,Theatrical Concert,March 9 at 10:30 a.m.,Les puces de Stradivarius,Jeunesses Musicales Canada - Ages 3 + - Spies search for the great violin maker’s secret,Passes available as of February 23;;
,Animated Film,March 12 at 3 p.m.,Le garçon et la bête,Created by Mamoru Hosoda - Ages 8 + - An adventure beyond imagination... - (Japan | 2016 | 118 min | v.f.),Passes available as of February 26;;
,Evening Film Presentation,March 14 at 7:30 p.m.,Demain,Directed by Mélanie Laurent and Cyril Dion - A glimmer of hope for the future - (France | 2016 | 118 min),Passes available as of February 28;;
,Theatre,March 23 at 8 p.m.,Je suis un arbre sans feuille,Fondation Metropolis bleu - Based on texts by the carriers of L’Itinéraire magazine - Conseil des arts de Montréal en tournée,Passes available as of March 9;;
",Music,March 25 at 4 p.m.,Sacré rencontre 1 – Parlures et parjures,""Carte blanche to Pierre Labbé - Michel Faubert, Pierre Labbé, Bernard Falaise et Pierre Tanguay – Album launch at 5 p.m. - A hybrid show featuring an unsparing vision of today’s world"",Passes available as of March 11";;
",Contemporary Music,March 30 and March 31 at 9:30 a.m. 10:30 a.m. and 11:30 a.m.,Fonoformies,Société de musique contemporaine du Québec - Ages 1 to 4 - A path marked by unexpected sonic and pictorial discoveries - Conseil des arts de Montréal en tournée,""Passes available as of March 16, places limited""";;
,Public Laboratory,March 31 at 7:30 p.m. ],Sacré rencontre 2,Carte blanche to Pierre Labbé - Sacré Tympan and PPS Danse - Bold meeting between music and dance,Passes available as of March 17;;
",Lecture Recital,April 5 at 8 p.m.,La nuit du violoncelliste,""Text by Bernard Lévy, featuring Sophie Faucher and Pierre-Alain Bouvrette - A fantasy world in each narrative"",Passes available as of February 22";;
",Theatre,April 13 at 10 a.m. and 1:30 p.m.,Richard le polichineur d’écritoire,Sylvain Massé - Ages 12 + - An off-the-wall take on three Shakespeare masterpieces,""Passes available as of March 30, places limited""";;
",Storytime,April 23 at 3 p.m.,Vikings,""Renée Robitaille - Ages 3 + - A history of dragons, giants, blacksmith dwarves and gigantic snakes"",Passes available as of April 9";;
,Evening Film Presentation,April 26 at 7:30 p.m.,Hommage à la danse,L’ONF à la maison - Followed by a discussion – Presented during Dance Week,Passes available as of April 11;;
",New Artistic Practice,April 28,""Schmuttland, pour une utopie durable"",""Dinner show - A unique, unifying, delirious and festive experience! - Immigrating to this new country – Presented during Dance Week"",Information at the reception counter";;
",Painting,Exhibition from January 26 to March 26/ Vernissage: January 26 from 5 p.m. to 7 p.m.,L’événement du siècle,""Serge Lemonde - Jean-Michel Correia, Curator - A glimpse at the work of a unique artist"",Free admission";;
",Video,Exhibition from March 30 to April 30,Chantal Dupont,""Dazibao - Works that explore issues of identity, physical vulnerability and memory - Conseil des arts de Montréal en tournée"",Free admission";;
,Photography,Exhibition from April 6 to May 21/ Vernissage : April 6 from 5 p.m. to 7 p.m. ,Les montréalais : portrait d’une fin de siècle,Jean-François Leblanc - Pictorial history,Free admission;;
Maison de la culture de Notre-Dame-de-Grace;;
",Music,January 29 at 3 p.m.,Les couleurs de l’alto,""Marina Thibeault and Janelle Fung - Fairy tales by Schumann and a sonata by Glinka, the father of Russian classical music, together with works by Tchaikovsky and Schubert."",Passes available as of January 15";;
",Song,February 2 at 8 p.m.,Puamuna,""Florent Vollant - The Innu icon returns to present his newest album, recorded in his native city"",Passes available as of January 19";;
,Ciné-club Panorama,February 8 at 7:30 p.m.,Un musée dans la ville,L’ONF à la maison - Directed by Luc Bourdon - A behind-the-scenes look at the Montréal Museum of fine Arts - Followed by a meeting with the filmaker - (Quebec 2011 | 52 min | O.V. French),Passes available as of January 25;;
",Young Audiences,February 11 at 11 a.m.,Babioles,""Cabane Théâtre - Ages 18 months + - Window onto the imagination, where language is discovered through objects, music and games"",Passes available as of January 28";;
",Music,February 21 at 8 p.m.,Nordest Jazz Trio,""Alexandre Grogg, piano"; Christophe Papadimitriou, double bass and composition;" Pierre Tanguay, drums - Jazz tinged with swing, tango and ballads"",Passes available as of February 7"
",Music,February 26 at 3 p.m.,Classique Jazzy / Jazzy Classics,""Duo Ventapane - Violin and piano revisit jazz classics : Debussy, Ravel, Piazzolla, Rachmaninoff, Horovitz and many others"",Passes available as of February 12";;
,Ciné-club Panorama,March 1 at 7:30 p.m.,Brasseurs – Le film,Directed by Pierre-Luc Laganière - A look at Quebec’s brewing community - Followed by a meeting with the filmmaker - (Quebec 2015 | 75 min | O.V. French) - Don’t miss the March 22 presentation – tasting! During the exhibition YANNICK BROSSEAU – LE PANTHÉON DIEU DU CIEL !,Passes available as of February 15;;
,Young Audiences,March 6 at 10:30 a.m. (Ages 3 +) and 2 p.m. (Ages 6 +),Les puces de Stradivarius,Jeunesses Musicales Canada - Spring break - Theatrical music - Violin and cello trio,Passes available as of February 20;;
,Young Audiences,March 7 at 2 p.m.,Opération arctique,Festival international du film pour enfants (FIFEM) - Spring break - Film - Ages 6 + - (Norway 2014 | 90 min | French version),Passes available as of February 20;;
,Young Audiences,March 9 at 10:30 a.m.,Le manoir magique,Festival international du film pour enfants (FIFEM) - Spring break - Animated film - Ages 3 + - (Belgium 2013 | 85 min | O.V. French),Passes available as of February 20;;
,Music,March 14 at 8 p.m. ,Meu Quelê,Isaac Neto - Suave vocals take center stage in this music inspired by the rich languages of northeast Brazil and Afro-Brazilian culture,Passes available as of February 28;;
",Song,March 17 at 8 p.m.,Cabaret routhier,""Sébastien Lacombe and Suzanne Lainesse - Cabaret hosted by Philippe Routhier, featuring a renowned artist and an emerging artist"",Passes available as of March 3";;
,Young Audiences,March 18 at 3:30 p.m.,Créatures,Le Moulin à Musique - Theatrical music - Ages 4 +,Passes available as of March 4;;
",Music,March 19 at 3 p.m.,D’ombres et de lumières,""Jacinthe Thibault, soprano & David Bergeron, piano - Lyrical song as a bridge between the world of Kurt Weill and the cabarets of the 1920s"",Passes available as of March 5";;
",Presentation - Tasting,March 22 at 6:30 p.m.,Microbrewery Tasting Workshop,""Martin Lamoureux - During the exhibition YANNICK BROSSEAU – LE PANTHÉON DIEU DU CIEL ! - Learn from a chemistry professor how to observe, smell and taste Quebec’s know-how - Ages 18 +"",Register at: 514-872-2398";;
,Ciné-club Panorama,March 29 at 7:30 p.m.,Mtl New Wave,Directed by Erik Cimon - Meet the major contributors in the movement marking the end of the punk era in Montréal - Followed by a meeting with the filmmaker - (Quebec 2016 | 92 min | O.V. French and English) - Don’t forget to visit the REC-ART exhibition celebrating iconic Quebec album covers,Passes available as of March 15;;
",Song,""April 1 from 10 a.m. to 5 p.m., April 2 from 10 a.m. to 5 p.m. and April 3 from 10 a.m. to 12 noon"",Destination Chanson – Fleuve,Emerging singer-songwriters - Auditions for the Festivals de la chanson de Petite-Vallée et Tadoussac,Free admission";;
",Contemporary Music,April 11 at 8 p.m.,Les Amériques,""Ensemble Paramirabo - Tribute to music from here and beyond, with music by Zappa and Piazzolla arranged by Symon Henry"",Passes available as of March 28";;
",Ciné-club Panorama,April 19 at 7:30 p.m.,Soirée cinédanse : projection et discussions,""Curator: Priscilla Guy, Host: Valérie Lessard, Guest: Louise Lecavalier, - Dance and film converge in five short films - Held as part of Événement Québec Danse"",Passes available as of April 5";;
,Theatre,April 25 at 8 p.m.,Le paradis n’est-il pas une bibliothèque ?,Festival international de la littérature - Staging : Catherine Vidal - A literary and visual voyage into the heart of libraries - With five renowned performers,Passes available as of April 11;;
,Young Audiences,April 29 at 3 p.m.,Carré de sable,Tenon Mortaise - Clownish puppet theatre meets the theatre of objects and shadows - Ages 4 +,Passes available as of April 15;;
,Dance,May 4 at 8 p.m.,Ktahkomiq,Ondinnok theatre company - Presented as part of the Aboriginal Spring of Art 3,Passes available as of April 20;;
,Young Audiences,May 12 at 7:30 p.m.,Quichotte,Ombres Folles - Theatre - Ages 8 +,Passes available as of April 28;;
Notre-Dame-de-Grace Cultural Centre;;
,Multidisciplinary,January 20 at 5 p.m.,Season Launch,Details to be announced - Festive event featuring surprise performances - Open to all,Free admission;;
",Song,January 27 at 8 p.m.,Women of Soul / Femmes de soul,""Sylvie DesGroseilliers - An extraordinary performer pays a moving tribute to the great black songstresses, accompanied by four musicians and two backup singers"",Passes available as of January 13";;
,Young Audiences,January 28 at 3 p.m.,Clap,Centre de recherche en art clownesque (CRAC) - Heart-warming clownish theatre - Without words - Ages 5 +,Passes available as of January 14;;
",Film,January 31 at 7 p.m.,""Tel père, tel fils (Soshite chichi ni naru)"",Written and directed by Kore-eda Hirokazu - An architect and his wife find out their 6-year-old son was switched at birth - (Japan 2013 | 150 min | O.V. Japanese with French subtitles),Passes available as of January 17";;
",Music,February 7 at 8 p.m.,Satie Variations,""Cordâme - Prix Accès Culture 2016 - Piano, harp, violin, cello, double bass and percussion"",Passes available as of January 24";;
,Dance,February 9 at 8 p.m.,Foutrement,Compagnie Virginie Brunelle - Three performers tear themselves apart looking for love and expose their vulnerability - Nudity,Passes available as of January 26;;
,Young Audiences,February 18 at 3 p.m.,Au train où vont les choses,Les Chemins Errants - Musical theatre - Ages 4 +,Passes available as of February 4;;
,Music,February 19 at 3 p.m.,Stéphane Tétreault and Marie-Ève Scarfone,Two young virtuosos connect and give rise to unforgettable musical moments - Cello and piano,Passes available as of February 5;;
,Dance,February 24 at 7:30 p.m.,Dans ta tête et six pieds sur terre,Maï (g) wenn et les Orteils - Choreography pairing dance and contemporary jig - General audiences - Ages 8 +,Passes available as of February 10;;
,Film,February 28 at 7 p.m.,Léviathan (Leviafan),Directed by Andrey Zvyagintsev - An American news item adapted to the nightmare of Vladimir Putin’s Russia - (Russia 2014 | 140 min | O.V. Russian with French subtitles),Passes available as of February 14;;
,Dance,March 3 at 8 p.m.,Rites,Jose Navas/ Compagnie Flak - Solo revealing the fragility of humankind aware of its finiteness,Passes available as of February 17;;
,Young Audiences,March 7 at 10:30 a.m.,Pat et Mat,Festival international du film pour enfants (FIFEM) - Spring break - Animated film - Ages 2 + - (Czech Republic 2014 | 48 min),Passes available as of February 20;;
,Young Audiences,March 8 at 10:30 a.m. (Ages 3 +) and at 2 p.m. (Ages 6 +),Pierre et le loup,Coproduced by MAGNITUDE 6 and Jeunesses Musicales Canada - Spring break - Theatrical music - Based on a musical fairy tale by Sergeï Prokofiev,Passes available as of February 20;;
,Young Audiences,March 9 at 2:30 p.m.,Phantom Boy,Festival international du film pour enfants (FIFEM) - Directed by Alain Gagnol and Jean-Loup Felicioli - Spring break - Animated film - Ages 6 + - (France 2015 | 84 min | O.V. French),Passes available as of February 20;;
",Presentation,March 14 at 7 p.m.,Rêver l’Amérique,""Thomas Hellman - Literary and musical encounter centered around American authors, a preview of the concert presented on Friday, March 31"",Passes available as of February 28";;
",Theatre,March 16 at 7:30 p.m.,Ce monde-là,""Youtheatre - Exploration of the complex inner turmoil faced by two adolescent girls - General audiences, ages 13 +"",Passes available as of March 2";;
,Music,March 21 at 8 p.m.,Anna & Jane McGarrigle Racontent,Concert inspired by the book Mountain City Girls,Passes available as of March 7;;
",Young Audiences,March 25 at 3 p.m.,Le porteur,""Le Théâtre de l’OEil - Puppet theatre meets the theatre of shadows, images and light - Without words - Ages 5 +"",Passes available as of March 11";;
,Music,March 26 at 3 p.m.,Mémoires,Duo Fortin-Poirier - Concert for piano four hands,Passes available as of March 12;;
,Theatre,March 28 at 8 p.m.,Guerre et paix,Coproduced by Théâtre de Quartier and Théâtre du Sous-marin jaune - A puppet-inspired fresco where Loup Bleu revisits a Russian literary classic,Passes available as of March 14;;
,Dance,March 30 at 7:30 p.m.,Lien(s),Destins Croisés - Urban dances where the identity of five strangers clash in an emotional whirlwind – General audiences - Ages 10 +,Passes available as of March 16;;
,Song,March 31 at 8 p.m.,Rêves américains : de la ruée vers l’or à la grande crise,Thomas Hellman - Trio with Olaf Gundel and Sage Reynolds - Don’t miss the presentation on March 14!,Passes available as of March 17;;
,Young Audiences,April 1 at 3 p.m.,Partout ailleurs,Théâtre de l’Avant-Pays - Theatre - Ages 7 +,Passes available as of March 18;;
",Film,April 4 at 7 p.m.,Le fils de Saul (Saul Fia),""Directed by László Nemes - October 1944, two days in the life of Saul Ausländer, a Hungarian Jew imprisoned at Auschwitz - (Hungary 2015 | 113 min | O.V. Hungarian with French subtitles)"",Passes available as of March 21";;
,English-Language Theatre,April 8 at 7:30 p.m.,Bus Stops,Théâtre I.N.K. - A city bus with some 40 people on board – a laudable exercise in becoming aware of our prejudices - General audiences - Ages 14 +,Passes available as of March 25;;
,Dance,April 21 at 7:30 p.m.,Nobody likes a pixelated squid,Danse Tentacle Tribe - A magnetic duo inspired by the fluidity of movement shown by terrestrial and aquatic creatures - General audiences - Ages 8 +,Passes available as of April 7;;
,Young Audiences,April 22 at 3 p.m.,Tendre,Créations Estelle Clareton - Dance - Ages 5 +,Passes available as of April 8;;
,Music,April 30 at 3 p.m.,Voyage Tango,El Trio Argentino et Flavia Garcia,Passes available as of April 16;;
",Film,May 2 at 7 p.m.,La grande beauté (La grande bellezza),""Directed by Paolo Sorrentino - Jep searches for meaning, between celebration and long walks in the heart of Rome, love, sex, aesthetics, memory, death and religion converge - (Italy 2013 | 141 min | O.V. Italian with French subtitles"",Passes available as of April 18";;
",Theatre,May 5 at 7:30 p.m.,""Devant moi, le ciel"",""DynamO Théâtre - Clownish acrobatic theatre, where poetry melds with reality - Without words - General audiences - Ages 10 +"",Passes available as of April 21";;
,Music,May 11 at 7:30 p.m.,Launch of the Festival des saisons russes de Montréal,Tchaikovsky and Rachmaninov,Passes available as of April 27;;
Benny Library;;
,Society Games ,Every Thursday from January to May from 3:30 p.m. to 5 p.m.,Les jeudis ludiques,Ages 8 to 13,Free admission;;
,Video Games,Every Friday from January to May from 3:30 p.m. to 5:30 p.m.,Gamer fridays: free video games,Ages 8 to 13,Free admission;;
",Storytime,""January 14, February 4 and 11, March 4 and 11, April 1, 8 and 29, May 6 and 27, June 3 at 10:30 a.m."",Storytime,Ages 3 to 5,Registration opens one month before each activity";;
",Storytime,""January 15 and 28, February 25, March 12 and 25, April 22, May 7 and 20, June 4 at 10:30 a.m."",Storytime (Bilingual),Ages 3 to 5,Registration opens one month before each activity";;
",Games,""January 15 and 29, February 12 and 26, March 12 and 26, April 9 and 23, May 7 and 21, June 4 from 1 p.m. to 4 p.m."",Chess Club (in english),Ages 5 + - Presented by Steven Rosenstein,Free admission";;
